H1A
MONDAY, 8:30-9:15, Lichamelijke Opvoeding, 0.01
MONDAY, 9:15-9:55, Aardrijkskunde, 0.08
MONDAY, 9:55-10:35, Grieks, 0.02
MONDAY, 11:0-11:40, Informatica, 1.11
TUESDAY, 8:30-9:15, Lichamelijke Opvoeding, 0.01
TUESDAY, 9:15-9:55, Biologie, 0.09
TUESDAY, 9:55-10:35, Grieks, 0.02
TUESDAY, 11:0-11:40, Frans, 0.05
WEDNESDAY, 8:30-9:15, Handvaardigheid, 0.11
WEDNESDAY, 9:15-9:55, Biologie, 0.09
WEDNESDAY, 9:55-10:35, Geschiedenis, 0.06
WEDNESDAY, 11:0-11:40, Frans, 0.05
THURSDAY, 8:30-9:15, Handvaardigheid, 0.11
THURSDAY, 9:15-9:55, Engels, 0.05
THURSDAY, 9:55-10:35, Geschiedenis, 0.06
THURSDAY, 11:0-11:40, Latijn, 0.02
THURSDAY, 15:30-16:10, Maatschappijleer, 0.05
FRIDAY, 8:30-9:15, Aardrijkskunde, 0.08
FRIDAY, 9:15-9:55, Engels, 0.05
FRIDAY, 9:55-10:35, Informatica, 1.11
FRIDAY, 11:0-11:40, Latijn, 0.02
FRIDAY, 15:30-16:10, Maatschappijleer, 0.05

H1B
MONDAY, 8:30-9:15, Handvaardigheid, 0.11
MONDAY, 9:15-9:55, Biologie, 0.09
MONDAY, 9:55-10:35, Engels, 0.05
MONDAY, 11:0-11:40, Geschiedenis, 0.06
TUESDAY, 8:30-9:15, Handvaardigheid, 0.11
TUESDAY, 9:15-9:55, Aardrijkskunde, 0.08
TUESDAY, 9:55-10:35, Engels, 0.05
TUESDAY, 11:0-11:40, Latijn, 0.02
WEDNESDAY, 8:30-9:15, Lichamelijke Opvoeding, 0.01
WEDNESDAY, 9:15-9:55, Aardrijkskunde, 0.08
WEDNESDAY, 9:55-10:35, Informatica, 1.11
WEDNESDAY, 11:0-11:40, Latijn, 0.02
THURSDAY, 8:30-9:15, Lichamelijke Opvoeding, 0.01
THURSDAY, 9:15-9:55, Grieks, 0.02
THURSDAY, 9:55-10:35, Informatica, 1.11
THURSDAY, 11:0-11:40, Frans, 0.05
FRIDAY, 8:30-9:15, Biologie, 0.09
FRIDAY, 9:15-9:55, Grieks, 0.02
FRIDAY, 9:55-10:35, Geschiedenis, 0.06
FRIDAY, 11:0-11:40, Frans, 0.05

H2A
MONDAY, 8:30-9:15, Aardrijkskunde, 0.08
MONDAY, 9:15-9:55, Lichamelijke Opvoeding, 0.01
MONDAY, 11:0-11:40, Grieks, 0.02
MONDAY, 11:40-12:20, Frans, 0.05
TUESDAY, 8:30-9:15, Aardrijkskunde, 0.08
TUESDAY, 9:15-9:55, Handvaardigheid, 0.11
TUESDAY, 11:40-12:20, Frans, 0.05
WEDNESDAY, 8:30-9:15, Biologie, 0.09
WEDNESDAY, 9:15-9:55, Handvaardigheid, 0.11
WEDNESDAY, 9:55-10:35, Engels, 0.05
WEDNESDAY, 11:40-12:20, Latijn, 0.02
THURSDAY, 8:30-9:15, Biologie, 0.09
THURSDAY, 9:15-9:55, Geschiedenis, 0.06
THURSDAY, 9:55-10:35, Engels, 0.05
THURSDAY, 11:40-12:20, Latijn, 0.02
FRIDAY, 8:30-9:15, Lichamelijke Opvoeding, 0.01
FRIDAY, 9:15-9:55, Geschiedenis, 0.06
FRIDAY, 9:55-10:35, Grieks, 0.02

H2B
MONDAY, 8:30-9:15, Biologie, 0.09
MONDAY, 9:15-9:55, Handvaardigheid, 0.11
MONDAY, 9:55-10:35, Geschiedenis, 0.06
MONDAY, 11:0-11:40, Engels, 0.05
MONDAY, 11:40-12:20, Latijn, 0.02
TUESDAY, 8:30-9:15, Biologie, 0.09
TUESDAY, 9:15-9:55, Lichamelijke Opvoeding, 0.01
TUESDAY, 9:55-10:35, Geschiedenis, 0.06
TUESDAY, 11:40-12:20, Latijn, 0.02
WEDNESDAY, 8:30-9:15, Aardrijkskunde, 0.08
WEDNESDAY, 9:15-9:55, Lichamelijke Opvoeding, 0.01
WEDNESDAY, 9:55-10:35, Grieks, 0.02
WEDNESDAY, 11:40-12:20, Frans, 0.05
THURSDAY, 8:30-9:15, Aardrijkskunde, 0.08
THURSDAY, 9:55-10:35, Grieks, 0.02
THURSDAY, 11:40-12:20, Frans, 0.05
FRIDAY, 8:30-9:15, Handvaardigheid, 0.11
FRIDAY, 9:55-10:35, Engels, 0.05

H3A
